"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"1"	"1"	"1"	"1"	"1"	"7.60898849223117"	"CASKIN2|57513"	"CD101|9398"	"FCGBP|8857"	"OTUD1|220213"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"TRAF1|7185"
"2"	"2"	"1"	"1"	"1"	"8.29394751936108"	"ABCC3|8714"	"ANKRD22|118932"	"FERMT1|55612"	"PYCR1|5831"	"RNF149|284996"	"RNH1|6050"	"RTKN2|219790"	"TSPAN13|27075"
"3"	"3"	"1"	"1"	"1"	"8.71729539463919"	"C1orf198|84886"	"COL10A1|1300"	"COL12A1|1303"	"HYAL2|8692"	"LGR4|55366"	"NFU1|27247"	"PYCR1|5831"	"WISP2|8839"
"4"	"4"	"1"	"1"	"1"	"7.47522666649314"	"CA9|768"	"DOPEY2|9980"	"FERMT1|55612"	"HS6ST2|90161"	"JAK3|3718"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"5"	"5"	"0.988888888888889"	"0.987341772151899"	"1"	"7.38545813658309"	"C12orf49|79794"	"C13orf1|57213"	"CASKIN2|57513"	"LGR4|55366"	"PWP2|5822"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"6"	"6"	"1"	"1"	"1"	"7.56210157251133"	"ABCC3|8714"	"C13orf1|57213"	"C1orf43|25912"	"CASKIN2|57513"	"CD101|9398"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"7"	"7"	"0.988888888888889"	"0.987341772151899"	"1"	"7.37788021025247"	"CXCL13|10563"	"DOPEY2|9980"	"EPAS1|2034"	"FERMT1|55612"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"
"8"	"8"	"1"	"1"	"1"	"7.66830350047063"	"C13orf1|57213"	"CASKIN2|57513"	"CD101|9398"	"COL17A1|1308"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"9"	"9"	"0.988888888888889"	"0.987341772151899"	"1"	"8.17816807493588"	"CYP51A1|1595"	"EPAS1|2034"	"FAM83A|84985"	"KIF26B|55083"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"ST6GALNAC5|81849"
"10"	"10"	"1"	"1"	"1"	"7.3281347150127"	"CYP51A1|1595"	"HYAL2|8692"	"LGR4|55366"	"LTF|4057"	"OTUD1|220213"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"11"	"11"	"1"	"1"	"1"	"7.1950052796474"	"C13orf1|57213"	"C1orf198|84886"	"LOC84740|84740"	"PNPLA6|10908"	"PYCR1|5831"	"RRP1B|23076"	"SLC19A1|6573"	"SPTBN2|6712"
"12"	"12"	"1"	"1"	"1"	"7.85466628275816"	"ADAM8|101"	"COL17A1|1308"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SBDS|51119"	"SLC19A1|6573"	"TYW1|55253"
"13"	"13"	"0.977777777777778"	"0.974683544303797"	"1"	"8.41878633388929"	"CCL19|6363"	"COL10A1|1300"	"IDI1|3422"	"MYL9|10398"	"OLR1|4973"	"PECAM1|5175"	"PYCR1|5831"	"SLC19A1|6573"
"14"	"14"	"0.988888888888889"	"0.987341772151899"	"1"	"8.29450620121362"	"FERMT1|55612"	"LTF|4057"	"PNPLA6|10908"	"PYCR1|5831"	"RAB6A|5870"	"RTKN2|219790"	"SYNJ2|8871"	"ZNF266|10781"
"15"	"15"	"0.988888888888889"	"0.987341772151899"	"1"	"8.69093176427398"	"DOPEY2|9980"	"FERMT1|55612"	"IQGAP3|128239"	"MYO1C|4641"	"PVR|5817"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"16"	"16"	"0.977777777777778"	"0.974683544303797"	"1"	"7.57561574889165"	"BRWD1|54014"	"COL10A1|1300"	"IGSF9|57549"	"MYL9|10398"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TSPAN13|27075"
"17"	"17"	"1"	"1"	"1"	"7.28774624437277"	"ABHD5|51099"	"BCL2L2|599"	"C13orf1|57213"	"CASKIN2|57513"	"COL17A1|1308"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"18"	"18"	"1"	"1"	"1"	"7.32068894120583"	"GCFC1|94104"	"LTF|4057"	"NUS1|116150"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SRPK1|6732"	"SYNJ2|8871"
"19"	"19"	"1"	"1"	"1"	"7.18749307501438"	"DOPEY2|9980"	"FERMT1|55612"	"IQGAP3|128239"	"PVR|5817"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TPM3|7170"
"20"	"20"	"1"	"1"	"1"	"8.08684877530017"	"DOPEY2|9980"	"FERMT1|55612"	"IQGAP3|128239"	"MYO1C|4641"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SMG6|23293"
"21"	"21"	"1"	"1"	"1"	"7.15529794218577"	"HYAL2|8692"	"LGR4|55366"	"MMP11|4320"	"MYL9|10398"	"PYCR1|5831"	"RTKN2|219790"	"SBDSP1|155370"	"TRAF1|7185"
"22"	"22"	"0.977777777777778"	"0.974683544303797"	"1"	"8.86662045288408"	"COL10A1|1300"	"EPAS1|2034"	"ISLR|3671"	"JAK3|3718"	"OTUD1|220213"	"PYCR1|5831"	"SLC19A1|6573"	"STARD3NL|83930"
"23"	"23"	"0.988888888888889"	"0.987341772151899"	"1"	"8.40028295514418"	"ADAM8|101"	"BMF|90427"	"CENPF|1063"	"MACROD2|140733"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"24"	"24"	"1"	"1"	"1"	"7.58076642713068"	"ANKRD22|118932"	"CD101|9398"	"EPAS1|2034"	"PRKCB|5579"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"URB1|9875"
"25"	"25"	"1"	"1"	"1"	"8.09001188532347"	"ETV4|2118"	"FERMT1|55612"	"LGR4|55366"	"NPL|80896"	"RNF149|284996"	"RTKN2|219790"	"TNFAIP1|7126"	"TOP2A|7153"
"26"	"26"	"1"	"1"	"1"	"7.78167206259496"	"ADAM8|101"	"ALOX5AP|241"	"CASKIN2|57513"	"FDPS|2224"	"PYCR1|5831"	"SBDSP1|155370"	"SLC19A1|6573"	"SPTBN2|6712"
"27"	"27"	"1"	"1"	"1"	"7.15319608336922"	"HYAL2|8692"	"PAPD4|167153"	"PYCR1|5831"	"RTKN2|219790"	"SLC11A1|6556"	"SLC19A1|6573"	"TMPRSS4|56649"	"TTYH3|80727"
