"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"1"	"1"	"0.988888888888889"	"1"	"0.909090909090909"	"7.78042668014022"	"DHCR7|1717"	"HYAL2|8692"	"LGR4|55366"	"NPL|80896"	"PYCR1|5831"	"RTKN2|219790"	"SIRPB1|10326"	"SYNJ2|8871"
"2"	"2"	"0.988888888888889"	"0.987341772151899"	"1"	"7.34364092221759"	"EPAS1|2034"	"GGT5|2687"	"LGR4|55366"	"PNPLA6|10908"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"TSPAN13|27075"
"3"	"3"	"0.966666666666667"	"0.974683544303797"	"0.909090909090909"	"8.59100771402789"	"DHCR7|1717"	"FCGR3A|2214"	"NPL|80896"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SPTBN2|6712"	"SYNJ2|8871"
"4"	"4"	"0.988888888888889"	"0.987341772151899"	"1"	"8.55378188035843"	"ADAM8|101"	"ALOX5AP|241"	"CASKIN2|57513"	"COL10A1|1300"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"WISP2|8839"
"5"	"5"	"1"	"1"	"1"	"6.97991101057328"	"ARL2|402"	"EPAS1|2034"	"FDPS|2224"	"KIF26B|55083"	"LGR4|55366"	"PAPSS1|9061"	"PYCR1|5831"	"SGEF|26084"
"6"	"6"	"1"	"1"	"1"	"7.47768380645313"	"COL17A1|1308"	"DOPEY2|9980"	"FKBP11|51303"	"MYO1C|4641"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"
"7"	"7"	"0.988888888888889"	"0.987341772151899"	"1"	"7.90003100626722"	"ABCC3|8714"	"B3GNT3|10331"	"C13orf15|28984"	"EMP2|2013"	"PNPLA6|10908"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"
"8"	"8"	"1"	"1"	"1"	"7.97047342382859"	"CASKIN2|57513"	"CD101|9398"	"DLG5|9231"	"NAPSB|256236"	"PYCR1|5831"	"SAR1A|56681"	"SLC19A1|6573"	"TMPRSS4|56649"
"9"	"9"	"1"	"1"	"1"	"7.69878978018635"	"C9orf140|89958"	"ETV4|2118"	"LGR4|55366"	"NPL|80896"	"PNPLA6|10908"	"RNF149|284996"	"RTKN2|219790"	"SYNJ2|8871"
"10"	"10"	"1"	"1"	"1"	"7.04676886381076"	"ABCC3|8714"	"DGKA|1606"	"HYAL2|8692"	"MDK|4192"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"WBP2|23558"
"11"	"11"	"1"	"1"	"1"	"7.33989505348713"	"CASKIN2|57513"	"COL17A1|1308"	"IDI1|3422"	"MYL6|4637"	"PALM2-AKAP2|445815"	"PYCR1|5831"	"SLC19A1|6573"	"SYNJ2|8871"
"12"	"12"	"0.988888888888889"	"0.987341772151899"	"1"	"7.42623087168742"	"GPT2|84706"	"HYAL2|8692"	"KCNN4|3783"	"KIF20A|10112"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SLC19A1|6573"
"13"	"13"	"1"	"1"	"1"	"6.99123814204693"	"COL10A1|1300"	"COL17A1|1308"	"FKBP11|51303"	"LPCAT3|10162"	"MYL9|10398"	"PECAM1|5175"	"RCC1|1104"	"SC4MOL|6307"
"14"	"14"	"1"	"1"	"1"	"7.44407369276497"	"GAS2L1|10634"	"KCNN4|3783"	"MME|4311"	"PYCR1|5831"	"RTKN2|219790"	"SBDS|51119"	"SLC19A1|6573"	"SYNJ2|8871"
"15"	"15"	"0.988888888888889"	"0.987341772151899"	"1"	"9.3610895858345"	"ASPM|259266"	"ENC1|8507"	"NFYB|4801"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TSPAN13|27075"
"16"	"16"	"1"	"1"	"1"	"7.24658206932179"	"CYP51A1|1595"	"ENC1|8507"	"FUT8|2530"	"HYAL2|8692"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"	"TSPAN13|27075"
"17"	"17"	"1"	"1"	"1"	"7.64575756096155"	"CA9|768"	"CLEC2D|29121"	"DOPEY2|9980"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"
"18"	"18"	"0.988888888888889"	"0.987341772151899"	"1"	"8.26181897053347"	"ASPM|259266"	"COL10A1|1300"	"COL12A1|1303"	"MMP11|4320"	"PYCR1|5831"	"RTKN2|219790"	"SRPK1|6732"	"USP48|84196"
