"Accuracy"	"Sensitivity"	"Specificity"	"T2"
"1"	0.988888888888889	1	0.909090909090909	5.3290326224257
"2"	0.988888888888889	0.987341772151899	1	4.61611778611405
"3"	0.988888888888889	0.987341772151899	1	5.25714404642441
"4"	1	1	1	4.91456781772571
"5"	0.988888888888889	1	0.909090909090909	5.04071883439358
"6"	1	1	1	5.39577060895524
"7"	1	1	1	5.29451550657203
"8"	1	1	1	5.39063985442102
"9"	1	1	1	5.35971358988766
"10"	0.988888888888889	0.987341772151899	1	5.55226468434616
"11"	1	1	1	5.39691168355472
"12"	1	1	1	4.87027632308454
"13"	0.977777777777778	0.987341772151899	0.909090909090909	4.78314937454469
"14"	1	1	1	5.1506422277861
"15"	0.988888888888889	0.987341772151899	1	5.2228749475165
"16"	0.988888888888889	0.987341772151899	1	5.04193543504434
"17"	0.988888888888889	0.987341772151899	1	5.43935007491524
"18"	1	1	1	5.09962813703752
"19"	0.988888888888889	0.987341772151899	1	5.37291147154851
"20"	0.988888888888889	0.987341772151899	1	5.3144988067008
"21"	1	1	1	5.02458216900268
"22"	1	1	1	4.57719929037462
"23"	0.977777777777778	1	0.818181818181818	6.10403738290841
"24"	0.966666666666667	0.987341772151899	0.818181818181818	5.54126768466093
"25"	0.977777777777778	0.987341772151899	0.909090909090909	5.67182680519834
"26"	0.966666666666667	0.987341772151899	0.818181818181818	5.59001591071231
"27"	0.988888888888889	0.987341772151899	1	5.49540780783599
"28"	0.977777777777778	1	0.818181818181818	5.07652710967652
"29"	0.977777777777778	0.974683544303797	1	5.36390128689179
"30"	0.988888888888889	0.987341772151899	1	4.64537603281094
"31"	0.988888888888889	1	0.909090909090909	5.04754005371725
"32"	1	1	1	5.1251432566362
"33"	0.977777777777778	0.974683544303797	1	6.19583589861547
"34"	0.988888888888889	0.987341772151899	1	5.0426353418154
"35"	0.988888888888889	1	0.909090909090909	5.21114970199228
"36"	0.988888888888889	0.987341772151899	1	4.90431206738935
"37"	0.977777777777778	0.987341772151899	0.909090909090909	5.44012133231054
"38"	0.966666666666667	0.962025316455696	1	5.1731398409265
"39"	0.988888888888889	0.987341772151899	1	5.8914455460345
"40"	1	1	1	5.40092615112744
"41"	0.988888888888889	1	0.909090909090909	5.38167443347993
"42"	0.966666666666667	0.974683544303797	0.909090909090909	5.28255917210257
"43"	0.988888888888889	1	0.909090909090909	4.87975213761099
"44"	0.977777777777778	0.987341772151899	0.909090909090909	5.19155233981651
"45"	0.966666666666667	0.974683544303797	0.909090909090909	5.92016398082825
"46"	0.966666666666667	0.974683544303797	0.909090909090909	5.47881411280276
"47"	0.988888888888889	1	0.909090909090909	4.93230359579827
"48"	0.988888888888889	0.987341772151899	1	5.02987323059156
"49"	1	1	1	5.05412580998794
"50"	0.966666666666667	1	0.727272727272727	5.24734736152697
"51"	0.977777777777778	0.987341772151899	0.909090909090909	5.78727604795365
"52"	0.988888888888889	0.987341772151899	1	5.67536581118742
"53"	0.988888888888889	0.987341772151899	1	5.62625558157405
"54"	0.988888888888889	1	0.909090909090909	5.69122735968413
"55"	1	1	1	5.32028810041616
"56"	0.977777777777778	0.987341772151899	0.909090909090909	5.76621906587333
"57"	0.988888888888889	0.987341772151899	1	5.41060831792113
"58"	0.977777777777778	0.987341772151899	0.909090909090909	5.23781732778729
"59"	0.977777777777778	0.974683544303797	1	5.86401984156656
"60"	1	1	1	5.28142833846816
"61"	1	1	1	5.07197383118648
"62"	0.988888888888889	1	0.909090909090909	5.44241965889024
"63"	0.977777777777778	0.987341772151899	0.909090909090909	5.39842506305767
"64"	0.988888888888889	0.987341772151899	1	4.93658658563161
"65"	0.966666666666667	0.962025316455696	1	5.7237666272488
"66"	1	1	1	5.55454146318065
"67"	0.977777777777778	0.974683544303797	1	5.37706535596605
"68"	1	1	1	4.51248964468053
"69"	0.977777777777778	0.987341772151899	0.909090909090909	5.21325340754563
"70"	1	1	1	5.04910807102523
"71"	1	1	1	5.13260244886442
"72"	0.988888888888889	1	0.909090909090909	4.96820056732413
"73"	0.988888888888889	1	0.909090909090909	4.79582163058477
"74"	0.977777777777778	0.974683544303797	1	5.27017208360434
"75"	0.977777777777778	0.987341772151899	0.909090909090909	4.68055078215028
"76"	0.977777777777778	0.987341772151899	0.909090909090909	5.61129793831546
"77"	1	1	1	5.11217775685718
"78"	0.988888888888889	0.987341772151899	1	5.49543988384911
"79"	0.988888888888889	0.987341772151899	1	4.59761377163761
"80"	0.977777777777778	0.987341772151899	0.909090909090909	6.09571160427659
"81"	0.977777777777778	1	0.818181818181818	5.41665281606671
"82"	1	1	1	5.67520110383729
"83"	1	1	1	5.01158754956686
"84"	0.988888888888889	0.987341772151899	1	5.28844823437936
"85"	1	1	1	5.12196801134489
"86"	0.966666666666667	0.974683544303797	0.909090909090909	5.53253029783369
"87"	0.977777777777778	0.987341772151899	0.909090909090909	5.39610229166646
"88"	0.977777777777778	0.987341772151899	0.909090909090909	5.84499078742429
"89"	0.988888888888889	0.987341772151899	1	5.46135729837455
"90"	0.966666666666667	0.974683544303797	0.909090909090909	5.10190546798156
"91"	0.966666666666667	0.987341772151899	0.818181818181818	5.41620906356455
"92"	0.988888888888889	1	0.909090909090909	5.01160595192704
"93"	0.988888888888889	0.987341772151899	1	5.08717786157991
"94"	0.988888888888889	0.987341772151899	1	4.83619432872438
"95"	0.988888888888889	1	0.909090909090909	5.45963729633156
"96"	0.977777777777778	0.987341772151899	0.909090909090909	5.09520968574691
"97"	1	1	1	5.04850055384358
"98"	1	1	1	4.45967489732602
"99"	1	1	1	5.04632381611638
"100"	0.988888888888889	0.987341772151899	1	5.49995853750335
