"Accuracy"	"Sensitivity"	"Specificity"	"T2"
"1"	1	1	1	7.16829329099957
"2"	0.988888888888889	0.987341772151899	1	8.79490938445505
"3"	0.988888888888889	0.987341772151899	1	8.1915409034838
"4"	0.988888888888889	0.987341772151899	1	8.0423343348235
"5"	1	1	1	6.73361333963823
"6"	1	1	1	8.49566294949079
"7"	1	1	1	7.11729516221436
"8"	0.988888888888889	1	0.909090909090909	8.44756123485745
"9"	1	1	1	7.58436416550713
"10"	1	1	1	7.26108733411658
"11"	0.988888888888889	0.987341772151899	1	7.64614673327673
"12"	0.977777777777778	0.974683544303797	1	8.53886383206489
"13"	1	1	1	7.33586079466243
"14"	1	1	1	7.20799130086363
"15"	0.988888888888889	0.987341772151899	1	7.86145381062005
"16"	0.966666666666667	0.962025316455696	1	9.14114447371965
"17"	0.988888888888889	1	0.909090909090909	7.94649487186769
"18"	0.988888888888889	1	0.909090909090909	9.45771079334827
"19"	0.988888888888889	0.987341772151899	1	7.89716364215731
"20"	0.988888888888889	0.987341772151899	1	7.29313393491536
"21"	0.988888888888889	0.987341772151899	1	8.0482561310331
"22"	1	1	1	7.48318958977925
"23"	0.988888888888889	0.987341772151899	1	7.7738962154476
"24"	1	1	1	8.22063569095434
"25"	0.988888888888889	1	0.909090909090909	7.71910066260854
"26"	1	1	1	7.31844567579502
"27"	1	1	1	8.28481893964361
"28"	0.977777777777778	0.974683544303797	1	7.29301655493819
"29"	0.988888888888889	0.987341772151899	1	7.24238250792926
"30"	1	1	1	7.17089558795409
"31"	0.988888888888889	1	0.909090909090909	7.96957962075461
"32"	0.988888888888889	1	0.909090909090909	7.27481116110771
"33"	0.977777777777778	0.974683544303797	1	8.05228533961099
"34"	1	1	1	8.21228002242682
"35"	0.988888888888889	1	0.909090909090909	8.40285649805621
"36"	1	1	1	7.5978595673045
"37"	1	1	1	7.69698486590666
"38"	1	1	1	7.10913256088633
"39"	1	1	1	7.3284681128373
"40"	1	1	1	7.59388478624335
"41"	1	1	1	7.91970085269221
"42"	1	1	1	7.36621841696507
"43"	1	1	1	8.60051463852082
"44"	1	1	1	8.18324510526187
"45"	1	1	1	7.41248035620375
"46"	0.988888888888889	1	0.909090909090909	7.85040882783672
"47"	1	1	1	8.16595035729036
"48"	0.977777777777778	0.987341772151899	0.909090909090909	7.36468435345675
"49"	0.988888888888889	0.987341772151899	1	7.92178066922327
"50"	0.988888888888889	0.987341772151899	1	8.94708655872714
"51"	0.988888888888889	0.987341772151899	1	7.92860789085683
"52"	0.977777777777778	0.974683544303797	1	8.49619004339048
"53"	0.977777777777778	0.974683544303797	1	8.37899303549075
"54"	1	1	1	7.77973463381797
"55"	1	1	1	7.32807631397282
"56"	0.988888888888889	0.987341772151899	1	7.49280302525512
"57"	1	1	1	6.70489614698381
"58"	1	1	1	8.57153545623435
"59"	1	1	1	7.70366532171636
"60"	1	1	1	8.21250923274502
"61"	1	1	1	7.75540163856049
"62"	0.988888888888889	1	0.909090909090909	7.7905959541699
"63"	0.988888888888889	1	0.909090909090909	7.87947426334461
"64"	1	1	1	7.8961516589766
"65"	1	1	1	6.53740455438244
"66"	1	1	1	6.88929934451612
"67"	1	1	1	8.16859721020723
"68"	1	1	1	6.70842358974431
"69"	1	1	1	8.01755634154323
"70"	0.966666666666667	0.962025316455696	1	8.00194600944186
"71"	1	1	1	7.91012275902507
"72"	1	1	1	7.23338098485624
"73"	0.988888888888889	0.987341772151899	1	8.27200160219662
"74"	1	1	1	6.957230099019
"75"	1	1	1	7.64919451625457
"76"	0.988888888888889	1	0.909090909090909	8.53727448014299
"77"	1	1	1	7.15829688314321
"78"	0.988888888888889	0.987341772151899	1	7.99714266566565
"79"	1	1	1	8.24453236132476
"80"	0.977777777777778	0.974683544303797	1	8.50416595339153
"81"	1	1	1	6.784556670582
"82"	1	1	1	8.19164466453893
"83"	0.988888888888889	0.987341772151899	1	7.73165615330465
"84"	1	1	1	7.47951115350797
"85"	0.988888888888889	1	0.909090909090909	8.00414835957004
"86"	0.988888888888889	0.987341772151899	1	7.91251045433863
"87"	1	1	1	7.16626589025338
"88"	1	1	1	7.57886755670719
"89"	1	1	1	7.31440103297735
