"Index"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"1"	"1"	"6.92751638251995"	"PYCR1|5831"	"RTKN2|219790"	"HYAL2|8692"	"FERMT1|55612"	"CYP51A1|1595"	"LGR4|55366"	"SLC19A1|6573"	"IQGAP3|128239"
"2"	"2"	"7.58988964469818"	"COL10A1|1300"	"PRELP|5549"	"COL12A1|1303"	"THBS2|7058"	"ISLR|3671"	"ABHD5|51099"	"MATN3|4148"	"MMP11|4320"
"3"	"3"	"6.1646250918225"	"PECAM1|5175"	"FAM83A|84985"	"FKBP11|51303"	"PDIK1L|149420"	"TIMP1|7076"	"SC4MOL|6307"	"COL17A1|1308"	"NLN|57486"
"4"	"4"	"6.82019112176394"	"PNPLA6|10908"	"CTHRC1|115908"	"MYL9|10398"	"TMPRSS4|56649"	"FOLR2|2350"	"STX12|23673"	"LYPLA2|11313"	"OCRL|4952"
"5"	"5"	"5.73377458995736"	"OTUD1|220213"	"KANK3|256949"	"ETF1|2107"	"YIPF5|81555"	"SPTBN2|6712"	"CXCL13|10563"	"ETV4|2118"	"PAPSS1|9061"
"6"	"6"	"6.37975042645838"	"STX11|8676"	"MS4A6A|64231"	"SRPK1|6732"	"TMEM184A|202915"	"ANKS1A|23294"	"MYL6|4637"	"XPO4|64328"	"SLC11A1|6556"
"7"	"7"	"6.09301657358136"	"EPAS1|2034"	"ALDH18A1|5832"	"KIF26B|55083"	"PALM2-AKAP2|445815"	"MMAB|326625"	"C1orf198|84886"	"HS6ST2|90161"	"ANKRD22|118932"
"8"	"8"	"5.66563205863773"	"C13orf1|57213"	"GLIPR2|152007"	"SEMA3G|56920"	"SPP1|6696"	"CCL19|6363"	"GOLM1|51280"	"WDR46|9277"	"WISP2|8839"
"9"	"9"	"5.16886797526779"	"B3GNT3|10331"	"LDLR|3949"	"NFYB|4801"	"MEX3A|92312"	"SFXN1|94081"	"UPK3B|80761"	"PLIN2|123"	"ADAM8|101"
"10"	"10"	"5.86210992269975"	"TOP2A|7153"	"ABCC3|8714"	"GPT2|84706"	"SPOCK2|9806"	"JAK3|3718"	"TXNDC5|81567"	"SCD|6319"	"RARA|5914"
"11"	"11"	"5.13130084240519"	"ACVRL1|94"	"COL3A1|1281"	"FIBIN|387758"	"LOC84740|84740"	"KCTD10|83892"	"PPP1R15A|23645"	"HPS5|11234"	"JAG2|3714"
