"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"1"	"1"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"3.3673717444307"	"BTNL9|153579"	"CTSE|1510"	"OSCAR|126014"	"POLM|27434"	"PSAT1|29968"	"SEMA4D|10507"	"SEPT10|151011"	"SLC35F5|80255"
"2"	"2"	"0.977777777777778"	"0.974683544303797"	"1"	"3.2997108561912"	"CCDC21|64793"	"CP|1356"	"CRYAB|1410"	"ECM1|1893"	"LRRC36|55282"	"MRAS|22808"	"PGM1|5236"	"SERPINH1|871"
"3"	"3"	"0.988888888888889"	"0.987341772151899"	"1"	"3.34657094044849"	"BCL7B|9275"	"DTX2|113878"	"EPCAM|4072"	"LRRC36|55282"	"PSAT1|29968"	"PSD4|23550"	"TAF12|6883"	"TTC7A|57217"
"4"	"4"	"0.977777777777778"	"0.974683544303797"	"1"	"3.28640202715331"	"C11orf24|53838"	"CLIC5|53405"	"CRYAB|1410"	"DKFZp761E198|91056"	"LRRC20|55222"	"MLLT1|4298"	"PSD4|23550"	"SIX4|51804"
"5"	"5"	"0.966666666666667"	"0.974683544303797"	"0.909090909090909"	"3.47449487989361"	"BAIAP2L1|55971"	"C16orf89|146556"	"NCAPG|64151"	"OSCAR|126014"	"PDAP1|11333"	"PDE5A|8654"	"PLA2G4F|255189"	"TMEM119|338773"
"6"	"6"	"0.988888888888889"	"0.987341772151899"	"1"	"3.38934899174945"	"CBLB|868"	"EPCAM|4072"	"GNPDA1|10007"	"GPIHBP1|338328"	"IFRD1|3475"	"PSAT1|29968"	"RHOQ|23433"	"SNX4|8723"
"7"	"7"	"1"	"1"	"1"	"3.22614116168308"	"ACTR1A|10121"	"DOLPP1|57171"	"FAM125B|89853"	"PHF15|23338"	"RAB14|51552"	"SBK1|388228"	"SEC23IP|11196"	"ZNF219|51222"
"8"	"8"	"0.988888888888889"	"1"	"0.909090909090909"	"3.31249645710724"	"ACVR1|90"	"BTNL9|153579"	"CARHSP1|23589"	"CCNB1|891"	"DAP|1611"	"IFRD1|3475"	"PABPC1L|80336"	"ZNF213|7760"
"9"	"9"	"0.977777777777778"	"0.974683544303797"	"1"	"3.24718890318282"	"BPHL|670"	"CP|1356"	"CRYAB|1410"	"INPP5A|3632"	"PSAT1|29968"	"SERPINH1|871"	"TM9SF3|56889"	"ZNF692|55657"
"10"	"10"	"0.977777777777778"	"0.974683544303797"	"1"	"3.22619588141607"	"EBP|10682"	"EPCAM|4072"	"GPIHBP1|338328"	"IFRD1|3475"	"PSAT1|29968"	"RUSC1|23623"	"TEP1|7011"	"UBE2I|7329"
"11"	"11"	"0.977777777777778"	"0.974683544303797"	"1"	"3.56230282328305"	"CALM1|801"	"FAM125B|89853"	"PGM1|5236"	"PHC2|1912"	"SIX4|51804"	"SLC29A1|2030"	"STRBP|55342"	"WDR55|54853"
"12"	"12"	"0.988888888888889"	"0.987341772151899"	"1"	"2.96455559392429"	"ARL4C|10123"	"DCBLD1|285761"	"FAM89A|375061"	"GPIHBP1|338328"	"KLC1|3831"	"RILPL2|196383"	"SEPT10|151011"	"TSC22D2|9819"
"13"	"13"	"0.988888888888889"	"0.987341772151899"	"1"	"3.25552247032473"	"CRYZ|1429"	"LONP2|83752"	"LRRC36|55282"	"PSAT1|29968"	"RUSC1|23623"	"SIX4|51804"	"TMEM176A|55365"	"ULK3|25989"
"14"	"14"	"0.988888888888889"	"0.987341772151899"	"1"	"3.19039655593639"	"BTNL9|153579"	"C4orf3|401152"	"CASP3|836"	"CBX4|8535"	"MESDC1|59274"	"PDCL|5082"	"PTMS|5763"	"TTC7A|57217"
"15"	"15"	"0.955555555555556"	"0.962025316455696"	"0.909090909090909"	"3.07816848249523"	"C4orf3|401152"	"DUSP5|1847"	"GALNT2|2590"	"JDP2|122953"	"PVR|5817"	"RANBP10|57610"	"SIX4|51804"	"TMEM100|55273"
"16"	"16"	"0.977777777777778"	"0.974683544303797"	"1"	"3.1472364562521"	"BCL7B|9275"	"C6orf174|387104"	"EPCAM|4072"	"HBA1|3039"	"INPP5A|3632"	"PARD6B|84612"	"SLC16A9|220963"	"UBE2I|7329"
"17"	"17"	"0.977777777777778"	"0.974683544303797"	"1"	"3.10607075954684"	"C8orf30A|51236"	"CP|1356"	"ECM1|1893"	"INPP5A|3632"	"OSCAR|126014"	"TMEM100|55273"	"UBE2I|7329"	"WDR11|55717"
"18"	"18"	"1"	"1"	"1"	"3.03861229426389"	"CDCA7|83879"	"FAM101B|359845"	"HBA1|3039"	"LOX|4015"	"PDIA3|2923"	"PGM1|5236"	"RUSC1|23623"	"TSPAN17|26262"
"19"	"19"	"0.944444444444444"	"0.936708860759494"	"1"	"3.16457460903759"	"CRYAB|1410"	"DPP4|1803"	"EMP3|2014"	"KCNE4|23704"	"MMP14|4323"	"PSAT1|29968"	"STARD8|9754"	"TNS4|84951"
"20"	"20"	"0.966666666666667"	"0.962025316455696"	"1"	"3.19423811101074"	"DNAJB1|3337"	"OSCAR|126014"	"PKM2|5315"	"PLEKHA7|144100"	"PSAT1|29968"	"RAB6A|5870"	"SEPT10|151011"	"SLC35F5|80255"
"21"	"21"	"0.955555555555556"	"0.949367088607595"	"1"	"3.32416992471405"	"BTNL9|153579"	"C5orf13|9315"	"FYB|2533"	"OSCAR|126014"	"POLR3E|55718"	"RAB6A|5870"	"SEPT10|151011"	"SLC35F5|80255"
"22"	"22"	"1"	"1"	"1"	"3.0446496266076"	"BTNL9|153579"	"CTTN|2017"	"LYZ|4069"	"OSCAR|126014"	"PSAT1|29968"	"RAB6A|5870"	"SEPT10|151011"	"SLC35F5|80255"
"23"	"23"	"0.988888888888889"	"0.987341772151899"	"1"	"3.01978249386937"	"C16orf57|79650"	"C6orf174|387104"	"CDCA7|83879"	"DHCR24|1718"	"EXOC6|54536"	"HBA1|3039"	"ZAK|51776"	"ZBTB41|360023"
"24"	"24"	"0.977777777777778"	"0.974683544303797"	"1"	"3.13079389423727"	"FAM114A1|92689"	"LDHA|3939"	"MINK1|50488"	"PGM1|5236"	"RCAN1|1827"	"RRAGA|10670"	"TEAD1|7003"	"TMEM100|55273"
"25"	"25"	"0.988888888888889"	"0.987341772151899"	"1"	"3.15371996037754"	"DCAF12|25853"	"EPCAM|4072"	"FXR2|9513"	"GCA|25801"	"GPIHBP1|338328"	"PARD6B|84612"	"SMU1|55234"	"TTPAL|79183"
"26"	"26"	"0.977777777777778"	"0.974683544303797"	"1"	"3.24844071723997"	"BTNL9|153579"	"CCDC21|64793"	"CTSE|1510"	"DHCR24|1718"	"OSCAR|126014"	"PSD4|23550"	"SEPT10|151011"	"TMEM159|57146"
"27"	"27"	"0.966666666666667"	"0.962025316455696"	"1"	"3.26334902140875"	"ATG16L1|55054"	"BPHL|670"	"CLASP2|23122"	"CTSE|1510"	"FMO2|2327"	"PSAT1|29968"	"SFRP4|6424"	"VHL|7428"
"28"	"28"	"0.988888888888889"	"0.987341772151899"	"1"	"2.96554203306683"	"EBP|10682"	"EPCAM|4072"	"GPIHBP1|338328"	"IFRD1|3475"	"PSAT1|29968"	"RUSC1|23623"	"TEP1|7011"	"UBE2I|7329"
