"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"
"1"	"1"	"1"	"1"	"1"	"9.41398565614436"	"EPAS1|2034"	"GPM6A|2823"	"LGR4|55366"	"LOC84740|84740"	"LTF|4057"	"MAML1|9794"	"OTUD1|220213"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"
"2"	"2"	"1"	"1"	"1"	"8.47107817036727"	"ANKS1A|23294"	"ENC1|8507"	"GPM6A|2823"	"MAFK|7975"	"NCKAP5|344148"	"PYCR1|5831"	"SAR1A|56681"	"SLC19A1|6573"	"SNX17|9784"	"URB1|9875"
"3"	"3"	"0.977777777777778"	"0.974683544303797"	"1"	"10.7090099469925"	"ADAM8|101"	"DOPEY2|9980"	"EPAS1|2034"	"FABP4|2167"	"FBXO7|25793"	"LTF|4057"	"PYCR1|5831"	"RRP1B|23076"	"RTKN2|219790"	"SLC19A1|6573"
"4"	"4"	"1"	"1"	"1"	"8.64007060989761"	"CASKIN2|57513"	"GPM6A|2823"	"LGR4|55366"	"LTF|4057"	"PLEKHA1|59338"	"PYCR1|5831"	"RNF149|284996"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"5"	"5"	"1"	"1"	"1"	"9.03898433027276"	"ABCC3|8714"	"CASKIN2|57513"	"GPM6A|2823"	"MYL6|4637"	"OCIAD2|132299"	"PYCR1|5831"	"RRP1B|23076"	"SC4MOL|6307"	"SLAIN2|57606"	"SLC19A1|6573"
"6"	"6"	"0.988888888888889"	"0.987341772151899"	"1"	"8.78760217168767"	"ADH1B|125"	"GPM6A|2823"	"LOC84740|84740"	"PALM2-AKAP2|445815"	"PCYOX1|51449"	"PNPLA6|10908"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"TMEM125|128218"
"7"	"7"	"0.977777777777778"	"0.974683544303797"	"1"	"9.02399290254442"	"ABCC3|8714"	"C7|730"	"EMP2|2013"	"EPAS1|2034"	"FABP4|2167"	"HMGB3|3149"	"LGR4|55366"	"PVRL1|5818"	"PYCR1|5831"	"SLC19A1|6573"
"8"	"8"	"0.988888888888889"	"0.987341772151899"	"1"	"8.88759564295643"	"ABCC3|8714"	"COL12A1|1303"	"GART|2618"	"GPD1|2819"	"GPM6A|2823"	"LTBP1|4052"	"LTF|4057"	"PYCR1|5831"	"SAR1A|56681"	"SLC19A1|6573"
"9"	"9"	"1"	"1"	"1"	"7.76730802491481"	"ABCC3|8714"	"FUT8|2530"	"HYAL2|8692"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SLC19A1|6573"	"SLC2A1|6513"	"TSPAN13|27075"	"WBP2|23558"
"10"	"10"	"1"	"1"	"1"	"10.1575918374028"	"CYP51A1|1595"	"ENC1|8507"	"GPM6A|2823"	"HS6ST2|90161"	"HYAL2|8692"	"LGR4|55366"	"LTF|4057"	"PYCR1|5831"	"SHANK2|22941"	"TREM1|54210"
"11"	"11"	"1"	"1"	"1"	"8.94113605196308"	"ADAM8|101"	"C19orf59|199675"	"CASKIN2|57513"	"COL17A1|1308"	"GDF15|9518"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"	"TSPAN13|27075"
"12"	"12"	"1"	"1"	"1"	"8.50629966843067"	"COL17A1|1308"	"GART|2618"	"GPD1|2819"	"GPM6A|2823"	"LTF|4057"	"MGRN1|23295"	"PEX5|5830"	"PYCR1|5831"	"SAR1A|56681"	"SLC19A1|6573"
"13"	"13"	"1"	"1"	"1"	"8.60457719018878"	"ABCC3|8714"	"CASKIN2|57513"	"COL17A1|1308"	"GPM6A|2823"	"MYL6|4637"	"PFKFB2|5208"	"PYCR1|5831"	"SAR1A|56681"	"SLC19A1|6573"	"TREM1|54210"
"14"	"14"	"1"	"1"	"1"	"9.49327042125747"	"ADAM8|101"	"ATP13A1|57130"	"CASKIN2|57513"	"GNPDA1|10007"	"MYO9B|4650"	"PNPLA6|10908"	"PYCR1|5831"	"RNF149|284996"	"SLC19A1|6573"	"SPTBN2|6712"
"15"	"15"	"1"	"1"	"1"	"8.00036459532426"	"EPAS1|2034"	"GPM6A|2823"	"KCTD10|83892"	"LAMA2|3908"	"LGR4|55366"	"MFSD6|54842"	"PNPLA6|10908"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"16"	"16"	"1"	"1"	"1"	"9.02545981685775"	"C7|730"	"CASKIN2|57513"	"FABP4|2167"	"LIMCH1|22998"	"MX2|4600"	"PYCR1|5831"	"RAB11FIP1|80223"	"SLC19A1|6573"	"SNX17|9784"	"SPTBN2|6712"
"17"	"17"	"1"	"1"	"1"	"9.2758203618961"	"ABCC3|8714"	"CASKIN2|57513"	"GPM6A|2823"	"LMO7|4008"	"LTF|4057"	"OTUD1|220213"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"18"	"18"	"1"	"1"	"1"	"8.05068646429596"	"FABP4|2167"	"FUCA1|2517"	"HS6ST2|90161"	"PCYOX1|51449"	"PYCR1|5831"	"RRP1B|23076"	"SC5DL|6309"	"SLC19A1|6573"	"TMPRSS4|56649"	"TSPAN13|27075"
"19"	"19"	"1"	"1"	"1"	"8.34885619185888"	"ABCC5|10057"	"B3GNT3|10331"	"DOPEY2|9980"	"FKBP11|51303"	"HS6ST2|90161"	"NCKAP5|344148"	"PYCR1|5831"	"SCD|6319"	"SLC19A1|6573"	"TSPAN13|27075"
"20"	"20"	"0.988888888888889"	"0.987341772151899"	"1"	"9.44661267637076"	"CASKIN2|57513"	"COL17A1|1308"	"GPM6A|2823"	"LGR4|55366"	"PYCR1|5831"	"SAR1A|56681"	"SC4MOL|6307"	"SFXN1|94081"	"SLC19A1|6573"	"WNT7B|7477"
"21"	"21"	"1"	"1"	"1"	"8.54907612069415"	"ADAM8|101"	"DOPEY2|9980"	"LMO7|4008"	"LTF|4057"	"NCKAP5|344148"	"PHF15|23338"	"PNPLA6|10908"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"22"	"22"	"1"	"1"	"1"	"9.01933592416358"	"ADAM8|101"	"ADH1B|125"	"GPM6A|2823"	"OTUD1|220213"	"PRELP|5549"	"PYCR1|5831"	"SLC11A1|6556"	"SLC19A1|6573"	"SNX17|9784"	"SPP1|6696"
"23"	"23"	"1"	"1"	"1"	"8.9578988295199"	"C1orf198|84886"	"COL10A1|1300"	"COL12A1|1303"	"DHCR7|1717"	"GPM6A|2823"	"LGR4|55366"	"MMP1|4312"	"MYL6|4637"	"PYCR1|5831"	"RCC1|1104"
"24"	"24"	"0.988888888888889"	"1"	"0.909090909090909"	"9.97921902111699"	"ADAM8|101"	"ATP13A1|57130"	"CASKIN2|57513"	"CCL18|6362"	"DLG5|9231"	"FCGBP|8857"	"PNPLA6|10908"	"PYCR1|5831"	"SAR1A|56681"	"SLC19A1|6573"
"25"	"25"	"0.977777777777778"	"0.974683544303797"	"1"	"9.60729396942707"	"AKIRIN2|55122"	"COL10A1|1300"	"CSK|1445"	"CTHRC1|115908"	"GPM6A|2823"	"MYL9|10398"	"NFYB|4801"	"NTM|50863"	"PNPLA6|10908"	"SFTPC|6440"
"26"	"26"	"0.988888888888889"	"0.987341772151899"	"1"	"8.73467629474078"	"CHIT1|1118"	"DLG5|9231"	"MME|4311"	"PYCR1|5831"	"RRP1B|23076"	"SAR1A|56681"	"SIDT2|51092"	"SLC19A1|6573"	"SLC6A4|6532"	"TMPRSS4|56649"
"27"	"27"	"1"	"1"	"1"	"8.36312064566043"	"CYP51A1|1595"	"EPB41L5|57669"	"ETV4|2118"	"GPM6A|2823"	"LGR4|55366"	"PYCR1|5831"	"RAB1B|81876"	"SLC19A1|6573"	"SPTBN2|6712"	"TNFAIP1|7126"
"28"	"28"	"1"	"1"	"1"	"8.65016429885238"	"ABCC3|8714"	"GART|2618"	"GPM6A|2823"	"LTF|4057"	"PYCR1|5831"	"SAR1A|56681"	"SC4MOL|6307"	"SLC19A1|6573"	"TMC6|11322"	"TMPRSS4|56649"
"29"	"29"	"1"	"1"	"1"	"8.06018176554868"	"CASKIN2|57513"	"FABP4|2167"	"LTF|4057"	"PYCR1|5831"	"RCC1|1104"	"SLC19A1|6573"	"SPTBN2|6712"	"STARD7|56910"	"TMEM131|23505"	"TP53INP2|58476"
"30"	"30"	"0.988888888888889"	"1"	"0.909090909090909"	"9.09279640881121"	"CASKIN2|57513"	"COL17A1|1308"	"FABP4|2167"	"GGT5|2687"	"LGR4|55366"	"PYCR1|5831"	"RNF149|284996"	"SLC19A1|6573"	"SPTBN2|6712"	"TSPAN13|27075"
"31"	"31"	"1"	"1"	"1"	"8.14843250686213"	"ADAM8|101"	"CASKIN2|57513"	"COL17A1|1308"	"CYP51A1|1595"	"GPM6A|2823"	"MYL6|4637"	"PYCR1|5831"	"RNF149|284996"	"SLC19A1|6573"	"TM2D2|83877"
"32"	"32"	"1"	"1"	"1"	"8.41658156875418"	"C7|730"	"COL17A1|1308"	"EPAS1|2034"	"FABP4|2167"	"FIGF|2277"	"GPM6A|2823"	"PYCR1|5831"	"SFXN1|94081"	"SLC19A1|6573"	"SPTBN2|6712"
"33"	"33"	"0.988888888888889"	"1"	"0.909090909090909"	"9.24538497220722"	"FARP1|10160"	"LGR4|55366"	"PYCR1|5831"	"RAB6A|5870"	"SC4MOL|6307"	"SLC6A4|6532"	"SPNS1|83985"	"SPTBN2|6712"	"SYNGR2|9144"	"TMPRSS4|56649"
"34"	"34"	"1"	"1"	"1"	"8.71409617487544"	"ADAM8|101"	"ALOX5AP|241"	"CASKIN2|57513"	"COL17A1|1308"	"MDK|4192"	"MYL6|4637"	"PYCR1|5831"	"RTKN2|219790"	"SBDS|51119"	"SLC19A1|6573"
"35"	"35"	"1"	"1"	"1"	"8.30007685244632"	"CASKIN2|57513"	"ETV4|2118"	"LTF|4057"	"MYO9B|4650"	"OTUD1|220213"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"
"36"	"36"	"0.988888888888889"	"1"	"0.909090909090909"	"9.02622536572762"	"ADAM8|101"	"CASKIN2|57513"	"DARC|2532"	"FABP4|2167"	"LGR4|55366"	"OTUD1|220213"	"PYCR1|5831"	"SBDS|51119"	"SLC19A1|6573"	"SPTBN2|6712"
"37"	"37"	"1"	"1"	"1"	"9.74601737567487"	"C1orf198|84886"	"COL10A1|1300"	"COL12A1|1303"	"LGR4|55366"	"LMO7|4008"	"PYCR1|5831"	"RRP1B|23076"	"SLC19A1|6573"	"SPTBN2|6712"	"WISP2|8839"
"38"	"38"	"0.988888888888889"	"0.987341772151899"	"1"	"8.10843029231897"	"ADAM8|101"	"CRIP1|1396"	"EPB41L5|57669"	"LGR4|55366"	"PNPLA6|10908"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"	"TNFAIP1|7126"
"39"	"39"	"0.988888888888889"	"0.987341772151899"	"1"	"8.4755471797922"	"ABCC3|8714"	"C1orf43|25912"	"CASKIN2|57513"	"EMP2|2013"	"PYCR1|5831"	"RDX|5962"	"RNF149|284996"	"RRP1B|23076"	"SLC19A1|6573"	"TMPRSS4|56649"
"40"	"40"	"1"	"1"	"1"	"9.25463156832664"	"DHCR7|1717"	"EPAS1|2034"	"GPM6A|2823"	"KPNA2|3838"	"LTF|4057"	"MYL6|4637"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TOP2A|7153"
"41"	"41"	"1"	"1"	"1"	"7.62772055414109"	"ANKS1A|23294"	"CASKIN2|57513"	"COL17A1|1308"	"FABP4|2167"	"LTF|4057"	"OTUD1|220213"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"42"	"42"	"0.988888888888889"	"0.987341772151899"	"1"	"9.06502841936979"	"GPD1|2819"	"GPM6A|2823"	"HYAL2|8692"	"LGR4|55366"	"LTF|4057"	"OTUD1|220213"	"PYCR1|5831"	"RAB6A|5870"	"SLC19A1|6573"	"TC2N|123036"
"43"	"43"	"0.988888888888889"	"0.987341772151899"	"1"	"9.71103989436981"	"CYP51A1|1595"	"GPM6A|2823"	"LGR4|55366"	"LOC84740|84740"	"LTF|4057"	"MYL6|4637"	"OTUD1|220213"	"PYCR1|5831"	"SEMA3G|56920"	"SLC19A1|6573"
"44"	"44"	"1"	"1"	"1"	"9.1304368138659"	"C1orf198|84886"	"CREBZF|58487"	"HS6ST2|90161"	"LGR4|55366"	"PYCR1|5831"	"RDX|5962"	"RRP1B|23076"	"SLC19A1|6573"	"SLC6A4|6532"	"TMPRSS4|56649"
