"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"
"1"	"1"	"1"	"1"	"1"	"1.93302231671308"	"PYCR1|5831"	"TRIM26|7726"
"2"	"2"	"1"	"1"	"1"	"1.74182596644934"	"PYCR1|5831"	"UCK1|83549"
"3"	"3"	"1"	"1"	"1"	"1.86769071119478"	"DNAH2|146754"	"PYCR1|5831"
"4"	"4"	"0.988888888888889"	"1"	"0.909090909090909"	"1.89690285058014"	"PPP1CA|5499"	"PYCR1|5831"
"5"	"5"	"0.977777777777778"	"0.974683544303797"	"1"	"1.95157318325239"	"PYCR1|5831"	"UNC13D|201294"
"6"	"6"	"1"	"1"	"1"	"2.0203389286576"	"PYCR1|5831"	"SYT15|83849"
"7"	"7"	"0.988888888888889"	"0.987341772151899"	"1"	"1.89650113910736"	"PYCR1|5831"	"TNPO2|30000"
"8"	"8"	"0.966666666666667"	"0.974683544303797"	"0.909090909090909"	"2.04060606502728"	"KIAA2018|205717"	"PYCR1|5831"
"9"	"9"	"0.988888888888889"	"1"	"0.909090909090909"	"1.92930620129356"	"PRPS1|5631"	"PYCR1|5831"
"10"	"10"	"0.988888888888889"	"0.987341772151899"	"1"	"1.8262055715071"	"PSMG1|8624"	"PYCR1|5831"
"11"	"11"	"0.977777777777778"	"0.974683544303797"	"1"	"2.05094932037456"	"BAZ1B|9031"	"PYCR1|5831"
"12"	"12"	"0.977777777777778"	"0.974683544303797"	"1"	"2.20325438350932"	"CKB|1152"	"PYCR1|5831"
"13"	"13"	"0.977777777777778"	"0.974683544303797"	"1"	"1.74889800529723"	"KIAA1191|57179"	"RTKN2|219790"
"14"	"14"	"0.988888888888889"	"0.987341772151899"	"1"	"2.10191222011917"	"PRKAA1|5562"	"PYCR1|5831"
"15"	"15"	"0.977777777777778"	"0.974683544303797"	"1"	"2.12028701057406"	"C5AR1|728"	"PYCR1|5831"
"16"	"16"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"1.87217642291499"	"LGSN|51557"	"RTKN2|219790"
"17"	"17"	"0.977777777777778"	"0.974683544303797"	"1"	"1.97675231436881"	"PYCR1|5831"	"ZBTB38|253461"
"18"	"18"	"0.944444444444444"	"0.936708860759494"	"1"	"2.02523040417997"	"RTKN2|219790"	"SLC15A2|6565"
"19"	"19"	"0.988888888888889"	"1"	"0.909090909090909"	"1.81566431612832"	"PPP1R13B|23368"	"PYCR1|5831"
"20"	"20"	"1"	"1"	"1"	"2.05165153847515"	"IDI1|3422"	"PYCR1|5831"
"21"	"21"	"0.988888888888889"	"0.987341772151899"	"1"	"2.08768421676155"	"EPT1|85465"	"RTKN2|219790"
"22"	"22"	"0.966666666666667"	"0.974683544303797"	"0.909090909090909"	"2.00462944537474"	"ARCN1|372"	"RTKN2|219790"
"23"	"23"	"0.955555555555556"	"0.949367088607595"	"1"	"1.96214060615375"	"C10orf76|79591"	"RTKN2|219790"
"24"	"24"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"2.01935797142411"	"C10orf118|55088"	"PYCR1|5831"
"25"	"25"	"0.977777777777778"	"0.974683544303797"	"1"	"1.9205403611404"	"CTBS|1486"	"PYCR1|5831"
"26"	"26"	"0.966666666666667"	"0.962025316455696"	"1"	"2.0399922439532"	"PYCR1|5831"	"RBM26|64062"
"27"	"27"	"0.988888888888889"	"0.987341772151899"	"1"	"1.73958381948891"	"HIGD1A|25994"	"PYCR1|5831"
"28"	"28"	"0.955555555555556"	"0.949367088607595"	"1"	"1.80483873218358"	"PPP1R8|5511"	"PYCR1|5831"
"29"	"29"	"1"	"1"	"1"	"1.8645408685696"	"PILRB|29990"	"PYCR1|5831"
"30"	"30"	"0.977777777777778"	"0.974683544303797"	"1"	"1.91173256308136"	"ANXA8L2|244"	"PYCR1|5831"
"31"	"31"	"0.988888888888889"	"0.987341772151899"	"1"	"1.97886025985334"	"KIAA1468|57614"	"RTKN2|219790"
"32"	"32"	"1"	"1"	"1"	"2.23052647263206"	"PECAM1|5175"	"THY1|7070"
"33"	"33"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"1.89744935207869"	"PYCR1|5831"	"RBPJ|3516"
"34"	"34"	"0.977777777777778"	"0.974683544303797"	"1"	"1.95709355787358"	"DDX19B|11269"	"PYCR1|5831"
"35"	"35"	"0.988888888888889"	"0.987341772151899"	"1"	"1.92455706034109"	"EHF|26298"	"PYCR1|5831"
"36"	"36"	"0.966666666666667"	"0.962025316455696"	"1"	"1.86201662120607"	"MRPL52|122704"	"PYCR1|5831"
"37"	"37"	"0.977777777777778"	"0.974683544303797"	"1"	"1.98265365490031"	"NCBP1|4686"	"PYCR1|5831"
"38"	"38"	"0.977777777777778"	"0.974683544303797"	"1"	"1.78064300011224"	"PYCR1|5831"	"SP2|6668"
"39"	"39"	"0.955555555555556"	"0.962025316455696"	"0.909090909090909"	"2.13073481164015"	"ARHGEF3|50650"	"RTKN2|219790"
"40"	"40"	"1"	"1"	"1"	"2.06618158679629"	"LPP|4026"	"PYCR1|5831"
"41"	"41"	"0.944444444444444"	"0.962025316455696"	"0.818181818181818"	"1.96627283119829"	"HNRNPF|3185"	"RTKN2|219790"
"42"	"42"	"0.988888888888889"	"0.987341772151899"	"1"	"1.87391293456163"	"NRP2|8828"	"PYCR1|5831"
"43"	"43"	"0.977777777777778"	"0.974683544303797"	"1"	"1.88200349271685"	"PLXDC2|84898"	"PYCR1|5831"
"44"	"44"	"0.966666666666667"	"0.962025316455696"	"1"	"2.17155782895154"	"GNG5|2787"	"PYCR1|5831"
"45"	"45"	"1"	"1"	"1"	"1.78035151962433"	"C9orf152|401546"	"PYCR1|5831"
"46"	"46"	"0.988888888888889"	"1"	"0.909090909090909"	"1.85037209317285"	"MRPL18|29074"	"PYCR1|5831"
"47"	"47"	"0.988888888888889"	"1"	"0.909090909090909"	"2.01105174866543"	"ACOT7|11332"	"PYCR1|5831"
"48"	"48"	"0.966666666666667"	"0.962025316455696"	"1"	"2.00849095624608"	"KRT80|144501"	"PYCR1|5831"
"49"	"49"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"1.98013800565277"	"CMTM7|112616"	"PYCR1|5831"
"50"	"50"	"0.944444444444444"	"0.949367088607595"	"0.909090909090909"	"1.95137783639214"	"CD69|969"	"PYCR1|5831"
"51"	"51"	"1"	"1"	"1"	"2.30781809401159"	"PYCR1|5831"	"SLC19A3|80704"
"52"	"52"	"1"	"1"	"1"	"2.00291557028592"	"CKMT1B|1159"	"PYCR1|5831"
"53"	"53"	"0.955555555555556"	"0.949367088607595"	"1"	"2.19199919675499"	"PYCR1|5831"	"TMEM159|57146"
