"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"
"1"	"1"	"0.977777777777778"	"0.974683544303797"	"1"	"3.99213170337084"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"
"2"	"2"	"1"	"1"	"1"	"4.1579995839776"	"FUT2|2524"	"RTKN2|219790"	"TOP2A|7153"
"3"	"3"	"0.988888888888889"	"0.987341772151899"	"1"	"3.88002476866397"	"EPAS1|2034"	"LGR4|55366"	"PYCR1|5831"
"4"	"4"	"1"	"1"	"1"	"3.92432757175332"	"C13orf15|28984"	"PYCR1|5831"	"SLC19A1|6573"
"5"	"5"	"1"	"1"	"1"	"3.9997824105009"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"6"	"6"	"1"	"1"	"1"	"3.87449883612095"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"7"	"7"	"0.988888888888889"	"0.987341772151899"	"1"	"4.26204601851774"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"8"	"8"	"0.966666666666667"	"0.962025316455696"	"1"	"4.07217509845349"	"COL10A1|1300"	"PYCR1|5831"	"RAMP2|10266"
"9"	"9"	"0.977777777777778"	"0.974683544303797"	"1"	"4.40665841224999"	"PECAM1|5175"	"PYCR1|5831"	"SLC19A1|6573"
"10"	"10"	"0.966666666666667"	"0.962025316455696"	"1"	"4.49088721985264"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"11"	"11"	"0.988888888888889"	"0.987341772151899"	"1"	"4.21467296588102"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"12"	"12"	"0.988888888888889"	"0.987341772151899"	"1"	"4.5003180683062"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"13"	"13"	"1"	"1"	"1"	"3.98572731134093"	"EPAS1|2034"	"IDE|3416"	"PYCR1|5831"
"14"	"14"	"0.977777777777778"	"0.974683544303797"	"1"	"4.2127072095422"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"
"15"	"15"	"0.988888888888889"	"0.987341772151899"	"1"	"3.91698156599933"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"16"	"16"	"0.966666666666667"	"0.962025316455696"	"1"	"4.38893776098067"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"17"	"17"	"1"	"1"	"1"	"4.01074444656016"	"ASPM|259266"	"ETV4|2118"	"RTKN2|219790"
"18"	"18"	"0.977777777777778"	"0.974683544303797"	"1"	"4.18719151173147"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"19"	"19"	"0.977777777777778"	"0.974683544303797"	"1"	"4.33085252900408"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"20"	"20"	"0.977777777777778"	"0.974683544303797"	"1"	"3.85868982409978"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"21"	"21"	"0.977777777777778"	"0.974683544303797"	"1"	"4.10922173358058"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"22"	"22"	"0.988888888888889"	"0.987341772151899"	"1"	"4.04274330749956"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"23"	"23"	"0.977777777777778"	"0.974683544303797"	"1"	"4.02246226785873"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"24"	"24"	"0.966666666666667"	"0.962025316455696"	"1"	"4.36097604553699"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"25"	"25"	"1"	"1"	"1"	"3.79093649386553"	"CCL19|6363"	"PYCR1|5831"	"RAMP3|10268"
"26"	"26"	"0.977777777777778"	"0.974683544303797"	"1"	"3.86707272958782"	"FERMT1|55612"	"RTKN2|219790"	"TOP2A|7153"
"27"	"27"	"1"	"1"	"1"	"4.0764362263504"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"28"	"28"	"0.988888888888889"	"0.987341772151899"	"1"	"4.02198327257743"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"
"29"	"29"	"1"	"1"	"1"	"3.97396822346752"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"30"	"30"	"0.944444444444444"	"0.936708860759494"	"1"	"4.29031924079936"	"PYCR1|5831"	"RNH1|6050"	"RTKN2|219790"
"31"	"31"	"1"	"1"	"1"	"4.00308335370527"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"32"	"32"	"1"	"1"	"1"	"3.63063723674712"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"33"	"33"	"0.977777777777778"	"0.974683544303797"	"1"	"4.20441203683253"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"34"	"34"	"1"	"1"	"1"	"4.0487312317046"	"FUT2|2524"	"RTKN2|219790"	"TOP2A|7153"
"35"	"35"	"0.977777777777778"	"0.974683544303797"	"1"	"3.39851214372764"	"CCNA2|890"	"ETV4|2118"	"RTKN2|219790"
"36"	"36"	"0.977777777777778"	"0.974683544303797"	"1"	"4.16403436631393"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"37"	"37"	"0.988888888888889"	"0.987341772151899"	"1"	"4.30936647461603"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"38"	"38"	"0.988888888888889"	"0.987341772151899"	"1"	"4.24053586974434"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"39"	"39"	"0.977777777777778"	"0.974683544303797"	"1"	"4.09525286574805"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"40"	"40"	"0.988888888888889"	"0.987341772151899"	"1"	"4.14087463941121"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"41"	"41"	"0.988888888888889"	"0.987341772151899"	"1"	"3.9333767345618"	"IQGAP3|128239"	"RTKN2|219790"	"TUBB6|84617"
