"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"
"1"	"1"	"0.988888888888889"	"1"	"0.909090909090909"	"4.86312679752595"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"2"	"2"	"0.988888888888889"	"0.987341772151899"	"1"	"5.2389112145193"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"
"3"	"3"	"0.988888888888889"	"0.987341772151899"	"1"	"5.00523385868436"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"4"	"4"	"0.988888888888889"	"0.987341772151899"	"1"	"4.94452268702863"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"5"	"5"	"0.988888888888889"	"0.987341772151899"	"1"	"5.17923497962661"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"6"	"6"	"1"	"1"	"1"	"4.65748293199829"	"ANKRD22|118932"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"7"	"7"	"1"	"1"	"1"	"4.81067455662543"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"8"	"8"	"1"	"1"	"1"	"4.68830829042352"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"9"	"9"	"1"	"1"	"1"	"4.99235452250386"	"C13orf15|28984"	"COL10A1|1300"	"PYCR1|5831"	"SLC19A1|6573"
"10"	"10"	"1"	"1"	"1"	"4.56935575334843"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"11"	"11"	"0.988888888888889"	"1"	"0.909090909090909"	"4.95314273778542"	"HYAL2|8692"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"
"12"	"12"	"1"	"1"	"1"	"4.98048329948906"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
