"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"
"1"	"1"	"1"	"1"	"1"	"5.91140048482434"	"CARD11|84433"	"HYAL2|8692"	"OTUD1|220213"	"PYCR1|5831"	"SLC19A1|6573"
"2"	"2"	"0.988888888888889"	"0.987341772151899"	"1"	"5.72807263519479"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"3"	"3"	"1"	"1"	"1"	"5.63592770891857"	"EPAS1|2034"	"MYL6|4637"	"PYCR1|5831"	"SERINC2|347735"	"SLC19A1|6573"
"4"	"4"	"0.977777777777778"	"0.974683544303797"	"1"	"5.4865554020196"	"CLEC2D|29121"	"FERMT1|55612"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"5"	"5"	"0.988888888888889"	"0.987341772151899"	"1"	"5.84644355572748"	"CCL19|6363"	"EIF4G3|8672"	"PECAM1|5175"	"PYCR1|5831"	"SLC19A1|6573"
"6"	"6"	"0.988888888888889"	"0.987341772151899"	"1"	"5.25947234732366"	"AMPD3|272"	"PYCR1|5831"	"RNH1|6050"	"RTKN2|219790"	"SLC19A1|6573"
"7"	"7"	"1"	"1"	"1"	"5.88846509790387"	"CASKIN2|57513"	"PYCR1|5831"	"RAB6A|5870"	"SLC19A1|6573"	"SPTBN2|6712"
"8"	"8"	"1"	"1"	"1"	"5.9564142736994"	"C13orf15|28984"	"COL10A1|1300"	"COL12A1|1303"	"PYCR1|5831"	"SLC19A1|6573"
"9"	"9"	"0.988888888888889"	"0.987341772151899"	"1"	"6.03858330892598"	"HYAL2|8692"	"PYCR1|5831"	"RALGPS2|55103"	"RTKN2|219790"	"SLC19A1|6573"
"10"	"10"	"0.977777777777778"	"0.974683544303797"	"1"	"6.11784212344007"	"PYCR1|5831"	"RNH1|6050"	"RTKN2|219790"	"TMPRSS4|56649"	"TRAF1|7185"
"11"	"11"	"1"	"1"	"1"	"5.3080300195215"	"FUT2|2524"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"TOP2A|7153"
"12"	"12"	"1"	"1"	"1"	"5.26233165576069"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"13"	"13"	"1"	"1"	"1"	"5.90743171404128"	"C13orf1|57213"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"14"	"14"	"0.988888888888889"	"0.987341772151899"	"1"	"5.63996873152434"	"ANKRD22|118932"	"PNPLA6|10908"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"15"	"15"	"0.988888888888889"	"0.987341772151899"	"1"	"5.50098190419081"	"ANKRD22|118932"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"
"16"	"16"	"1"	"1"	"1"	"5.89121756577564"	"CA9|768"	"DOPEY2|9980"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"17"	"17"	"0.988888888888889"	"0.987341772151899"	"1"	"5.47446644033451"	"ASPM|259266"	"ETV4|2118"	"MME|4311"	"PVR|5817"	"RTKN2|219790"
"18"	"18"	"0.988888888888889"	"0.987341772151899"	"1"	"5.67898267937776"	"COL10A1|1300"	"RDX|5962"	"RTKN2|219790"	"TOP2A|7153"	"TUBB6|84617"
"19"	"19"	"0.977777777777778"	"0.974683544303797"	"1"	"6.81596910622618"	"MMP11|4320"	"MYL9|10398"	"PYCR1|5831"	"RNH1|6050"	"RTKN2|219790"
"20"	"20"	"1"	"1"	"1"	"5.72112896488273"	"CCL19|6363"	"COL10A1|1300"	"PECAM1|5175"	"PYCR1|5831"	"SLC19A1|6573"
"21"	"21"	"0.988888888888889"	"0.987341772151899"	"1"	"5.61286001502868"	"COL10A1|1300"	"JAK3|3718"	"PECAM1|5175"	"PYCR1|5831"	"SLC19A1|6573"
"22"	"22"	"0.977777777777778"	"0.974683544303797"	"1"	"6.05118639492973"	"EPAS1|2034"	"ETV4|2118"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"23"	"23"	"0.988888888888889"	"0.987341772151899"	"1"	"5.51576360345322"	"ADAM8|101"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"24"	"24"	"0.988888888888889"	"0.987341772151899"	"1"	"5.56902147949503"	"EPAS1|2034"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"25"	"25"	"1"	"1"	"1"	"5.23755977850253"	"CYP51A1|1595"	"HYAL2|8692"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"
"26"	"26"	"1"	"1"	"1"	"5.56947126575441"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TEP1|7011"
"27"	"27"	"1"	"1"	"1"	"5.03881559693724"	"HYAL2|8692"	"MARCKSL1|65108"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"28"	"28"	"0.977777777777778"	"0.974683544303797"	"1"	"6.11037564258562"	"IQGAP3|128239"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TPM3|7170"
"29"	"29"	"0.966666666666667"	"0.962025316455696"	"1"	"5.88521112869981"	"EPAS1|2034"	"INSIG1|3638"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"30"	"30"	"1"	"1"	"1"	"5.4185104121573"	"CYP51A1|1595"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"31"	"31"	"0.977777777777778"	"0.974683544303797"	"1"	"6.10895533885"	"EPAS1|2034"	"FADS3|3995"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"
"32"	"32"	"0.988888888888889"	"0.987341772151899"	"1"	"5.52886700732212"	"ADAM8|101"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"33"	"33"	"0.988888888888889"	"0.987341772151899"	"1"	"5.27923870858676"	"HYAL2|8692"	"MARCKSL1|65108"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"34"	"34"	"1"	"1"	"1"	"5.44522644920928"	"FERMT1|55612"	"HYAL2|8692"	"MYO1C|4641"	"PYCR1|5831"	"RTKN2|219790"
"35"	"35"	"0.988888888888889"	"0.987341772151899"	"1"	"5.63250480960199"	"EPAS1|2034"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"36"	"36"	"0.988888888888889"	"0.987341772151899"	"1"	"5.78766487213807"	"EPAS1|2034"	"FERMT1|55612"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"37"	"37"	"0.988888888888889"	"0.987341772151899"	"1"	"5.53330103122769"	"EPAS1|2034"	"LTF|4057"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"38"	"38"	"0.988888888888889"	"1"	"0.909090909090909"	"6.22861135377543"	"CYP51A1|1595"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"39"	"39"	"0.988888888888889"	"0.987341772151899"	"1"	"5.75926499283524"	"CXCL13|10563"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"40"	"40"	"0.988888888888889"	"0.987341772151899"	"1"	"5.82745332492672"	"EPAS1|2034"	"LOC84740|84740"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"41"	"41"	"0.977777777777778"	"0.974683544303797"	"1"	"5.72149036457842"	"DGKA|1606"	"KANK3|256949"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"
"42"	"42"	"0.977777777777778"	"0.974683544303797"	"1"	"6.44989481456456"	"COL10A1|1300"	"EPAS1|2034"	"MYL9|10398"	"PYCR1|5831"	"SLC19A1|6573"
