"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"
"1"	"1"	"1"	"1"	"1"	"5.97557029389899"	"ABCC3|8714"	"C13orf1|57213"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"2"	"2"	"0.988888888888889"	"0.987341772151899"	"1"	"7.13203403852833"	"COL10A1|1300"	"EPAS1|2034"	"ISLR|3671"	"JAK3|3718"	"MYL9|10398"	"PYCR1|5831"
"3"	"3"	"0.988888888888889"	"1"	"0.909090909090909"	"6.94088449225778"	"C13orf1|57213"	"CASKIN2|57513"	"FOLR2|2350"	"PNPLA6|10908"	"PYCR1|5831"	"SPTBN2|6712"
"4"	"4"	"1"	"1"	"1"	"6.80237726392866"	"ABHD5|51099"	"DOPEY2|9980"	"IQGAP3|128239"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"5"	"5"	"1"	"1"	"1"	"5.89036876921594"	"IQGAP3|128239"	"LTF|4057"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TPM3|7170"
"6"	"6"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"6.44688212852781"	"DGKA|1606"	"FAM83A|84985"	"KANK3|256949"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"
"7"	"7"	"1"	"1"	"1"	"6.57182069309009"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"VPS24|51652"
"8"	"8"	"0.988888888888889"	"1"	"0.909090909090909"	"6.09492551322466"	"CYP51A1|1595"	"FERMT1|55612"	"HYAL2|8692"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"
"9"	"9"	"1"	"1"	"1"	"6.00453996209764"	"ABHD5|51099"	"C13orf1|57213"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"10"	"10"	"1"	"1"	"1"	"6.91695767347655"	"DGKA|1606"	"EPAS1|2034"	"LTF|4057"	"PYCR1|5831"	"RTKN2|219790"	"TSPO|706"
"11"	"11"	"1"	"1"	"1"	"6.10111554654477"	"COL17A1|1308"	"HYAL2|8692"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SLC19A1|6573"
"12"	"12"	"1"	"1"	"1"	"6.45596601355434"	"C13orf1|57213"	"CASKIN2|57513"	"COL17A1|1308"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"13"	"13"	"1"	"1"	"1"	"6.02304636760695"	"AMPD3|272"	"ETV4|2118"	"OTUD1|220213"	"PYCR1|5831"	"RRP1B|23076"	"SLC19A1|6573"
"14"	"14"	"0.966666666666667"	"0.974683544303797"	"0.909090909090909"	"6.95441854375173"	"CYP51A1|1595"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SPNS1|83985"	"TMPRSS4|56649"
"15"	"15"	"1"	"1"	"1"	"6.12459952849394"	"CASKIN2|57513"	"COL17A1|1308"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"16"	"16"	"0.988888888888889"	"0.987341772151899"	"1"	"6.30974856282506"	"IQGAP3|128239"	"PYCR1|5831"	"RALGPS2|55103"	"RTKN2|219790"	"SLC19A1|6573"	"SLC39A1|27173"
"17"	"17"	"1"	"1"	"1"	"5.80096471054392"	"CYP51A1|1595"	"FERMT1|55612"	"HYAL2|8692"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"
"18"	"18"	"0.988888888888889"	"0.987341772151899"	"1"	"7.05843067495212"	"ARL4A|10124"	"COL10A1|1300"	"DGKA|1606"	"EPAS1|2034"	"MYL9|10398"	"PYCR1|5831"
"19"	"19"	"0.988888888888889"	"0.987341772151899"	"1"	"6.55895699668031"	"EPAS1|2034"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TOP2A|7153"	"TUBA1B|10376"
"20"	"20"	"1"	"1"	"1"	"6.32736717677558"	"EPAS1|2034"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TOP2A|7153"	"TUBA1B|10376"
"21"	"21"	"0.988888888888889"	"0.987341772151899"	"1"	"6.06175803804788"	"EPAS1|2034"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"STX3|6809"
"22"	"22"	"0.988888888888889"	"0.987341772151899"	"1"	"6.35857625552796"	"ADAM8|101"	"ETV4|2118"	"PNPLA6|10908"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"23"	"23"	"1"	"1"	"1"	"5.24544991362824"	"ADAM8|101"	"HYAL2|8692"	"MARCKSL1|65108"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"24"	"24"	"0.988888888888889"	"0.987341772151899"	"1"	"7.19961486141448"	"ABHD5|51099"	"COL10A1|1300"	"MYL9|10398"	"RTKN2|219790"	"TNFAIP1|7126"	"TOP2A|7153"
"25"	"25"	"1"	"1"	"1"	"6.17430891832919"	"CXCL13|10563"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"URB1|9875"
"26"	"26"	"1"	"1"	"1"	"6.18678803012066"	"ANKRD22|118932"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"
"27"	"27"	"1"	"1"	"1"	"5.97986978820725"	"C13orf1|57213"	"CASKIN2|57513"	"COL17A1|1308"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"28"	"28"	"1"	"1"	"1"	"6.62073236042066"	"EPAS1|2034"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"TSPAN13|27075"
"29"	"29"	"0.988888888888889"	"1"	"0.909090909090909"	"5.72746952745729"	"EPAS1|2034"	"FERMT1|55612"	"KIAA0430|9665"	"LGR4|55366"	"LMO7|4008"	"PYCR1|5831"
"30"	"30"	"1"	"1"	"1"	"6.45337041453595"	"CYP51A1|1595"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"31"	"31"	"0.988888888888889"	"0.987341772151899"	"1"	"6.62215587685845"	"ETV4|2118"	"FOLR2|2350"	"FUT2|2524"	"PNPLA6|10908"	"RTKN2|219790"	"TOP2A|7153"
"32"	"32"	"1"	"1"	"1"	"6.19219454742679"	"ABHD5|51099"	"C13orf1|57213"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"33"	"33"	"1"	"1"	"1"	"5.8789143426675"	"CCL19|6363"	"CD52|1043"	"EPB41L5|57669"	"PYCR1|5831"	"RAMP3|10268"	"SLC19A1|6573"
"34"	"34"	"0.988888888888889"	"1"	"0.909090909090909"	"6.71834926425164"	"HYAL2|8692"	"ITM2C|81618"	"MMP11|4320"	"MYL9|10398"	"PYCR1|5831"	"RTKN2|219790"
"35"	"35"	"1"	"1"	"1"	"5.98925655210174"	"CASP2|835"	"COL17A1|1308"	"PYCR1|5831"	"RTKN2|219790"	"SBDS|51119"	"SLC19A1|6573"
"36"	"36"	"0.988888888888889"	"1"	"0.909090909090909"	"7.31433197121672"	"ABHD5|51099"	"C13orf1|57213"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"37"	"37"	"1"	"1"	"1"	"6.51262196794342"	"DGKA|1606"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"SRPK1|6732"
"38"	"38"	"0.988888888888889"	"0.987341772151899"	"1"	"7.47868648349684"	"CORO1C|23603"	"FERMT1|55612"	"FOLR2|2350"	"RTKN2|219790"	"SLC19A1|6573"	"TOP2A|7153"
"39"	"39"	"0.988888888888889"	"0.987341772151899"	"1"	"6.90293778713441"	"C13orf1|57213"	"CASKIN2|57513"	"PYCR1|5831"	"RRP1B|23076"	"SLC19A1|6573"	"SPTBN2|6712"
