"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"
"1"	"1"	"0.988888888888889"	"1"	"0.909090909090909"	"7.43374861109879"	"CASKIN2|57513"	"COL17A1|1308"	"MYL6|4637"	"PYCR1|5831"	"RNF149|284996"	"SLC19A1|6573"	"SLC6A4|6532"
"2"	"2"	"0.977777777777778"	"0.974683544303797"	"1"	"7.50242645346119"	"LGR4|55366"	"LOC84740|84740"	"PYCR1|5831"	"SGMS2|166929"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"
"3"	"3"	"0.988888888888889"	"0.987341772151899"	"1"	"8.3476561341392"	"CASKIN2|57513"	"COL17A1|1308"	"CYP51A1|1595"	"GPM6A|2823"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"4"	"4"	"0.988888888888889"	"0.987341772151899"	"1"	"7.80815817213377"	"GPM6A|2823"	"LOC84740|84740"	"LTF|4057"	"OTUD1|220213"	"PYCR1|5831"	"SLC19A1|6573"	"TREM1|54210"
"5"	"5"	"0.988888888888889"	"1"	"0.909090909090909"	"7.86587615246734"	"CASKIN2|57513"	"COL17A1|1308"	"OTUD1|220213"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"6"	"6"	"1"	"1"	"1"	"6.08576527197449"	"BAIAP2L1|55971"	"CYP51A1|1595"	"DOPEY2|9980"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"SRPK1|6732"
"7"	"7"	"0.955555555555556"	"0.962025316455696"	"0.909090909090909"	"7.15756907578375"	"CHIT1|1118"	"FPR3|2359"	"GPM6A|2823"	"LGR4|55366"	"OTUD1|220213"	"PNPLA6|10908"	"STX11|8676"
"8"	"8"	"0.988888888888889"	"0.987341772151899"	"1"	"7.03585195838979"	"CASKIN2|57513"	"COL17A1|1308"	"PYCR1|5831"	"RNF149|284996"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"
"9"	"9"	"0.977777777777778"	"1"	"0.818181818181818"	"7.5220107658281"	"CASKIN2|57513"	"COL17A1|1308"	"PYCR1|5831"	"RNF149|284996"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"
"10"	"10"	"0.988888888888889"	"1"	"0.909090909090909"	"6.89534181770818"	"CASKIN2|57513"	"CYP51A1|1595"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"
"11"	"11"	"1"	"1"	"1"	"7.61267216889322"	"ADAM8|101"	"GPM6A|2823"	"OTUD1|220213"	"PYCR1|5831"	"SBDS|51119"	"SLC11A1|6556"	"SLC19A1|6573"
