"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"1"	"1"	"1"	"1"	"1"	"6.9847338204213"	"ADAM8|101"	"COL10A1|1300"	"HYAL2|8692"	"OTUD1|220213"	"PYCR1|5831"	"RALGPS2|55103"	"SLC19A1|6573"	"ST6GALNAC5|81849"
"2"	"2"	"0.988888888888889"	"0.987341772151899"	"1"	"7.70658493073646"	"LGR4|55366"	"PYCR1|5831"	"RNH1|6050"	"RTKN2|219790"	"SBDSP1|155370"	"TMPRSS4|56649"	"TRAF1|7185"	"TREM1|54210"
"3"	"3"	"1"	"1"	"1"	"7.07810835540305"	"ANKRD22|118932"	"CD101|9398"	"HYAL2|8692"	"KCNN4|3783"	"PYCR1|5831"	"SBDS|51119"	"SC4MOL|6307"	"SLC19A1|6573"
"4"	"4"	"1"	"1"	"1"	"8.48165426663287"	"DOPEY2|9980"	"FERMT1|55612"	"IQGAP3|128239"	"PVR|5817"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"VPS24|51652"
"5"	"5"	"1"	"1"	"1"	"7.10845067492611"	"DUSP8|1850"	"IQGAP3|128239"	"LGR4|55366"	"LTF|4057"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TPM3|7170"
"6"	"6"	"0.988888888888889"	"0.987341772151899"	"1"	"7.50652010373873"	"ASPM|259266"	"NFYB|4801"	"NPL|80896"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TMPRSS4|56649"	"USP48|84196"
"7"	"7"	"1"	"1"	"1"	"7.56438383856961"	"CASKIN2|57513"	"CXCL13|10563"	"MACROD2|140733"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SPTBN2|6712"	"SYNJ2|8871"
"8"	"8"	"0.988888888888889"	"0.987341772151899"	"1"	"7.4610654268961"	"ETV4|2118"	"HYAL2|8692"	"LGR4|55366"	"NPL|80896"	"PYCR1|5831"	"RTKN2|219790"	"SMARCAD1|56916"	"TMPRSS4|56649"
"9"	"9"	"1"	"1"	"1"	"7.55951745728029"	"COL10A1|1300"	"COL12A1|1303"	"EPAS1|2034"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"TSPAN13|27075"
"10"	"10"	"0.988888888888889"	"0.987341772151899"	"1"	"7.64327005375092"	"C13orf1|57213"	"CASKIN2|57513"	"CD101|9398"	"COL17A1|1308"	"FDPS|2224"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"11"	"11"	"1"	"1"	"1"	"7.43590620092067"	"AKR1B10|57016"	"ARL4A|10124"	"DGKA|1606"	"MYO1C|4641"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SGPL1|8879"
"12"	"12"	"0.988888888888889"	"0.987341772151899"	"1"	"8.13270482967386"	"COL10A1|1300"	"COL12A1|1303"	"EIF4G3|8672"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SRPK1|6732"	"STX12|23673"
"13"	"13"	"0.988888888888889"	"0.987341772151899"	"1"	"8.9832792990972"	"COL10A1|1300"	"COL8A2|1296"	"EPAS1|2034"	"ISLR|3671"	"JAK3|3718"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"14"	"14"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"7.88064656499767"	"ADH1B|125"	"DLG5|9231"	"EMP2|2013"	"EPAS1|2034"	"FAM83A|84985"	"KIAA0430|9665"	"PNPLA6|10908"	"PYCR1|5831"
