"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"
"1"	"1"	"0.988888888888889"	"0.987341772151899"	"1"	"8.97723902670729"	"ABHD5|51099"	"C13orf15|28984"	"CA9|768"	"COL10A1|1300"	"COL12A1|1303"	"MMAB|326625"	"PYCR1|5831"	"SLC19A1|6573"	"SRPK1|6732"
"2"	"2"	"1"	"1"	"1"	"8.57600360136844"	"CORO1C|23603"	"EPN3|55040"	"FERMT1|55612"	"FOLR2|2350"	"KIAA0907|22889"	"MACROD2|140733"	"PGM2L1|283209"	"RTKN2|219790"	"TOP2A|7153"
"3"	"3"	"1"	"1"	"1"	"8.33043065950341"	"CLEC2D|29121"	"ENC1|8507"	"IQGAP3|128239"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TPM3|7170"	"TSPAN13|27075"
"4"	"4"	"0.988888888888889"	"0.987341772151899"	"1"	"8.92543559125921"	"DLG5|9231"	"EPAS1|2034"	"FDPS|2224"	"LTF|4057"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TOP2A|7153"	"TUBA1B|10376"
"5"	"5"	"0.988888888888889"	"0.987341772151899"	"1"	"8.51062283912572"	"ABCC3|8714"	"EPB41L5|57669"	"HS6ST2|90161"	"LGR4|55366"	"PECAM1|5175"	"POU2AF1|5450"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"
"6"	"6"	"1"	"1"	"1"	"8.64917255378253"	"CD48|962"	"DOPEY2|9980"	"FERMT1|55612"	"IQGAP3|128239"	"PVR|5817"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TPM3|7170"
"7"	"7"	"1"	"1"	"1"	"8.20093731647179"	"DOPEY2|9980"	"EPAS1|2034"	"LTF|4057"	"PHKA1|5255"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"	"STX3|6809"
"8"	"8"	"0.988888888888889"	"1"	"0.909090909090909"	"8.76369544154308"	"DHCR7|1717"	"FERMT1|55612"	"FLJ10357|55701"	"HYAL2|8692"	"LGR4|55366"	"NPL|80896"	"PYCR1|5831"	"RTKN2|219790"	"SIRPB1|10326"
"9"	"9"	"0.988888888888889"	"0.987341772151899"	"1"	"8.22463301369496"	"CD101|9398"	"CXCL13|10563"	"EPAS1|2034"	"FOLR2|2350"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"STARD7|56910"	"URB1|9875"
"10"	"10"	"1"	"1"	"1"	"7.45600409011367"	"ASPM|259266"	"CAMKK2|10645"	"ETV4|2118"	"FERMT1|55612"	"LGR4|55366"	"POU2AF1|5450"	"PVR|5817"	"PYCR1|5831"	"RTKN2|219790"
"11"	"11"	"0.988888888888889"	"1"	"0.909090909090909"	"8.13526451196111"	"B4GALT4|8702"	"HMGCS1|3157"	"HYAL2|8692"	"MMP11|4320"	"MYL9|10398"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"TIMP1|7076"
"12"	"12"	"1"	"1"	"1"	"9.17094851212491"	"ADAM8|101"	"PYCR1|5831"	"RTKN2|219790"	"SC4MOL|6307"	"SLC11A1|6556"	"SLC19A1|6573"	"SPP1|6696"	"TOP2A|7153"	"TUBA1B|10376"
"13"	"13"	"1"	"1"	"1"	"9.43753955351832"	"COL10A1|1300"	"COL12A1|1303"	"EMP2|2013"	"MMP12|4321"	"PNPLA6|10908"	"PYCR1|5831"	"RASA3|22821"	"SPTBN2|6712"	"WISP2|8839"
"14"	"14"	"1"	"1"	"1"	"9.10227205818666"	"ABHD5|51099"	"CCL19|6363"	"COL10A1|1300"	"EPAS1|2034"	"ISLR|3671"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"WISP2|8839"
"15"	"15"	"1"	"1"	"1"	"7.97265032108478"	"C1orf198|84886"	"COL10A1|1300"	"COL12A1|1303"	"COL17A1|1308"	"MIA3|375056"	"PYCR1|5831"	"RTKN2|219790"	"TOP2A|7153"	"ZNF266|10781"
"16"	"16"	"1"	"1"	"1"	"8.07475174886559"	"CYP51A1|1595"	"HYAL2|8692"	"IQGAP3|128239"	"LGR4|55366"	"LTF|4057"	"OTUD1|220213"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"17"	"17"	"1"	"1"	"1"	"8.45248037500261"	"CLEC2D|29121"	"CSTF2|1478"	"FERMT1|55612"	"PEX5|5830"	"PYCR1|5831"	"RTKN2|219790"	"SGPL1|8879"	"TMPRSS4|56649"	"USP48|84196"
"18"	"18"	"1"	"1"	"1"	"7.49913499559108"	"EPAS1|2034"	"LGR4|55366"	"LOC84740|84740"	"MGAT3|4248"	"OBSL1|23363"	"POU2AF1|5450"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
